,polarization,avg_degree,num_states,color
0,1,5,1.0,1
1,1,6,1.0,1
2,1,7,1.0,1
3,1,8,1.0,1
4,1,9,1.0,1
5,1,10,1.0,1
6,1,11,1.0,1
7,1,12,1.0,1
8,1,13,1.0,1
9,1,14,1.0,1
10,1,15,1.0,1
11,1,16,1.0,1
12,1,17,1.0,1
13,1,18,1.0,1
14,1,19,1.0,1
15,1,20,1.0,1
16,1,21,1.0,1
17,1,22,1.0,1
18,1,23,1.0,1
19,1,24,1.0,1
20,1,25,1.0,1
21,1,26,1.0,1
22,1,27,1.0,1
23,1,28,1.0,1
24,1,29,1.0,1
25,1,30,1.0,1
26,1,31,1.0,1
27,1,32,1.0,1
28,1,33,1.0,1
29,1,34,1.0,1
30,1,35,1.0,1
31,1,36,1.0,1
32,1,37,1.0,1
33,1,38,1.0,1
34,1,39,1.0,1
35,1,40,1.0,1
36,1,41,1.0,1
37,1,42,1.0,1
38,1,43,1.0,1
39,1,44,1.0,1
40,1,45,1.0,1
41,1,46,1.0,1
42,1,47,1.0,1
43,1,48,1.0,1
44,1,49,1.0,1
45,2,5,1.0,1
46,2,6,1.0,1
47,2,7,1.0,1
48,2,8,1.0,1
49,2,9,1.0,1
50,2,10,1.0,1
51,2,11,1.0,1
52,2,12,1.0,1
53,2,13,1.0,1
54,2,14,1.0,1
55,2,15,1.0,1
56,2,16,1.0,1
57,2,17,1.0,1
58,2,18,1.0,1
59,2,19,1.0,1
60,2,20,1.0,1
61,2,21,1.0,1
62,2,22,1.0,1
63,2,23,1.0,1
64,2,24,1.0,1
65,2,25,1.0,1
66,2,26,1.0,1
67,2,27,1.0,1
68,2,28,1.0,1
69,2,29,1.0,1
70,2,30,1.0,1
71,2,31,1.0,1
72,2,32,1.0,1
73,2,33,1.0,1
74,2,34,1.0,1
75,2,35,1.0,1
76,2,36,1.0,1
77,2,37,1.0,1
78,2,38,1.0,1
79,2,39,1.0,1
80,2,40,1.0,1
81,2,41,1.0,1
82,2,42,1.0,1
83,2,43,1.0,1
84,2,44,1.0,1
85,2,45,1.0,1
86,2,46,1.0,1
87,2,47,1.0,1
88,2,48,1.0,1
89,2,49,1.0,1
90,3,5,1.0,1
91,3,6,1.0,1
92,3,7,1.0,1
93,3,8,1.0,1
94,3,9,1.0,1
95,3,10,1.0,1
96,3,11,1.0,1
97,3,12,1.0,1
98,3,13,1.0,1
99,3,14,1.0,1
100,3,15,1.0,1
101,3,16,1.0,1
102,3,17,1.0,1
103,3,18,1.0,1
104,3,19,1.0,1
105,3,20,1.0,1
106,3,21,1.0,1
107,3,22,1.0,1
108,3,23,1.0,1
109,3,24,1.0,1
110,3,25,1.0,1
111,3,26,1.0,1
112,3,27,1.0,1
113,3,28,1.0,1
114,3,29,1.0,1
115,3,30,1.0,1
116,3,31,1.0,1
117,3,32,1.0,1
118,3,33,1.0,1
119,3,34,1.0,1
120,3,35,1.0,1
121,3,36,1.0,1
122,3,37,1.0,1
123,3,38,1.0,1
124,3,39,1.0,1
125,3,40,1.0,1
126,3,41,1.0,1
127,3,42,1.0,1
128,3,43,1.0,1
129,3,44,1.0,1
130,3,45,1.0,1
131,3,46,1.0,1
132,3,47,1.0,1
133,3,48,1.0,1
134,3,49,1.0,1
135,4,5,1.0,1
136,4,6,1.0,1
137,4,7,1.0,1
138,4,8,1.0,1
139,4,9,1.0,1
140,4,10,1.0,1
141,4,11,1.0,1
142,4,12,1.0,1
143,4,13,1.0,1
144,4,14,1.0,1
145,4,15,1.0,1
146,4,16,1.0,1
147,4,17,1.0,1
148,4,18,1.0,1
149,4,19,1.0,1
150,4,20,1.0,1
151,4,21,1.0,1
152,4,22,1.0,1
153,4,23,1.0,1
154,4,24,1.0,1
155,4,25,1.0,1
156,4,26,1.0,1
157,4,27,1.0,1
158,4,28,1.0,1
159,4,29,1.0,1
160,4,30,1.0,1
161,4,31,1.0,1
162,4,32,1.0,1
163,4,33,1.0,1
164,4,34,1.0,1
165,4,35,1.0,1
166,4,36,1.0,1
167,4,37,1.0,1
168,4,38,1.0,1
169,4,39,1.0,1
170,4,40,1.0,1
171,4,41,1.0,1
172,4,42,1.0,1
173,4,43,1.0,1
174,4,44,1.0,1
175,4,45,1.0,1
176,4,46,1.0,1
177,4,47,1.0,1
178,4,48,1.0,1
179,4,49,1.0,1
180,5,5,1.0,1
181,5,6,1.0,1
182,5,7,1.0,1
183,5,8,1.0,1
184,5,9,1.0,1
185,5,10,1.0,1
186,5,11,1.0,1
187,5,12,1.0,1
188,5,13,1.0,1
189,5,14,1.0,1
190,5,15,1.0,1
